GD Note,TYPE,TITLE,DESCRIPTION,LATITUDE,LONGITUDE,DELAY,EXTERNALID,UUID,,Desired Altitude,Alert on Map Screen,AR Marker,Coordinates for maps,AREA,CODE,INCIDENT_ID,PRIORITY
Low Wire reported in Uptown,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.52182345,-122.32303746,131,UTIL660,,,50 ft,YES,YES,"37.52182345, -122.32303746",Uptown,UTIL,UTIL660,Low
Fuse Blown reported in Rural,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.53132076,-122.33041314,119,UTIL661,,,50 ft,YES,YES,"37.53132076, -122.33041314",Rural,UTIL,UTIL661,Low
Leaning Pole reported in Suburban,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.5229729,-122.32216891,157,UTIL662,,,50 ft,YES,YES,"37.5229729, -122.32216891",Suburban,UTIL,UTIL662,Low
Transformer Failure reported in Industrial,INCIDENT,Transformer Failure,Multiple customers without power,37.52467217,-122.32035545,198,UTIL663,,,50 ft,YES,YES,"37.52467217, -122.32035545",Industrial,UTIL,UTIL663,Critical
Downed Power Line reported in Suburban,INCIDENT,Downed Power Line,Live wire reported on the ground,37.53033471,-122.33609268,157,UTIL664,,,50 ft,YES,YES,"37.53033471, -122.33609268",Suburban,UTIL,UTIL664,Medium
Substation Fire reported in Seaside,INCIDENT,Substation Fire,"Smoke reported at substation, emergency response needed",37.53600823,-122.32982547,43,UTIL665,,,50 ft,YES,YES,"37.53600823, -122.32982547",Seaside,UTIL,UTIL665,High
Meter Inspection reported in Central,INCIDENT,Meter Inspection,Routine inspection of residential meters,37.52668485,-122.3228329,65,UTIL666,,,50 ft,YES,YES,"37.52668485, -122.3228329",Central,UTIL,UTIL666,Critical
Tree Encroachment reported in Suburban,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.53253604,-122.3277136,47,UTIL667,,,50 ft,YES,YES,"37.53253604, -122.3277136",Suburban,UTIL,UTIL667,High
Routine Inspection reported in Suburban,INCIDENT,Routine Inspection,Scheduled maintenance check,37.53655908,-122.3275801,55,UTIL668,,,50 ft,YES,YES,"37.53655908, -122.3275801",Suburban,UTIL,UTIL668,High
Substation Fire reported in Suburban,INCIDENT,Substation Fire,"Smoke reported at substation, emergency response needed",37.52037461,-122.33864248,151,UTIL669,,,50 ft,YES,YES,"37.52037461, -122.33864248",Suburban,UTIL,UTIL669,High
Gas Leak reported in Industrial,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.53683001,-122.32400115,109,UTIL670,,,50 ft,YES,YES,"37.53683001, -122.32400115",Industrial,UTIL,UTIL670,Medium
Storm Damage reported in Suburban,INCIDENT,Storm Damage,Power infrastructure damaged by severe weather,37.53877122,-122.32546145,133,UTIL671,,,50 ft,YES,YES,"37.53877122, -122.32546145",Suburban,UTIL,UTIL671,Critical
Routine Inspection reported in Uptown,INCIDENT,Routine Inspection,Scheduled maintenance check,37.53667696,-122.33243477,24,UTIL672,,,50 ft,YES,YES,"37.53667696, -122.33243477",Uptown,UTIL,UTIL672,High
Cable Fault reported in Downtown,INCIDENT,Cable Fault,Underground cable suspected fault,37.5396083,-122.32087112,105,UTIL673,,,50 ft,YES,YES,"37.5396083, -122.32087112",Downtown,UTIL,UTIL673,Low
Tree Encroachment reported in Seaside,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.52462703,-122.32565521,116,UTIL674,,,50 ft,YES,YES,"37.52462703, -122.32565521",Seaside,UTIL,UTIL674,Low
Equipment Failure reported in Uptown,INCIDENT,Equipment Failure,Component failure at distribution station,37.52605611,-122.32355635,94,UTIL675,,,50 ft,YES,YES,"37.52605611, -122.32355635",Uptown,UTIL,UTIL675,Medium
Transformer Explosion reported in Central,INCIDENT,Transformer Explosion,Transformer explosion with fire risk,37.538845,-122.32352405,132,UTIL676,,,50 ft,YES,YES,"37.538845, -122.32352405",Central,UTIL,UTIL676,High
Routine Inspection reported in Downtown,INCIDENT,Routine Inspection,Scheduled maintenance check,37.52282652,-122.33229896,66,UTIL677,,,50 ft,YES,YES,"37.52282652, -122.33229896",Downtown,UTIL,UTIL677,Medium
Cable Fault reported in Uptown,INCIDENT,Cable Fault,Underground cable suspected fault,37.52326815,-122.33999984,120,UTIL678,,,50 ft,YES,YES,"37.52326815, -122.33999984",Uptown,UTIL,UTIL678,Medium
Storm Damage reported in Seaside,INCIDENT,Storm Damage,Power infrastructure damaged by severe weather,37.52107496,-122.324608,76,UTIL679,,,50 ft,YES,YES,"37.52107496, -122.324608",Seaside,UTIL,UTIL679,Medium
Low Wire reported in Uptown,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.52274099,-122.33657825,81,UTIL680,,,50 ft,YES,YES,"37.52274099, -122.33657825",Uptown,UTIL,UTIL680,Medium
Transformer Failure reported in Suburban,INCIDENT,Transformer Failure,Multiple customers without power,37.53478502,-122.33277496,34,UTIL681,,,50 ft,YES,YES,"37.53478502, -122.33277496",Suburban,UTIL,UTIL681,High
Tree Encroachment reported in Uptown,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.52706869,-122.33084558,12,UTIL682,,,50 ft,YES,YES,"37.52706869, -122.33084558",Uptown,UTIL,UTIL682,Critical
Meter Inspection reported in Uptown,INCIDENT,Meter Inspection,Routine inspection of residential meters,37.52421779,-122.33856837,140,UTIL683,,,50 ft,YES,YES,"37.52421779, -122.33856837",Uptown,UTIL,UTIL683,Medium
Switch Malfunction reported in Central,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.53813262,-122.32491389,94,UTIL684,,,50 ft,YES,YES,"37.53813262, -122.32491389",Central,UTIL,UTIL684,High
Equipment Failure reported in Downtown,INCIDENT,Equipment Failure,Component failure at distribution station,37.53153895,-122.33206205,121,UTIL685,,,50 ft,YES,YES,"37.53153895, -122.33206205",Downtown,UTIL,UTIL685,Low
Meter Inspection reported in Downtown,INCIDENT,Meter Inspection,Routine inspection of residential meters,37.53791941,-122.3252409,187,UTIL686,,,50 ft,YES,YES,"37.53791941, -122.3252409",Downtown,UTIL,UTIL686,Low
Cable Fault reported in Uptown,INCIDENT,Cable Fault,Underground cable suspected fault,37.52233693,-122.32667704,162,UTIL687,,,50 ft,YES,YES,"37.52233693, -122.32667704",Uptown,UTIL,UTIL687,Critical
Equipment Failure reported in Rural,INCIDENT,Equipment Failure,Component failure at distribution station,37.53208306,-122.32111614,58,UTIL688,,,50 ft,YES,YES,"37.53208306, -122.32111614",Rural,UTIL,UTIL688,High
Transformer Failure reported in Rural,INCIDENT,Transformer Failure,Multiple customers without power,37.53063987,-122.32474682,133,UTIL689,,,50 ft,YES,YES,"37.53063987, -122.32474682",Rural,UTIL,UTIL689,Medium
Leaning Pole reported in Suburban,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.52649533,-122.32680786,182,UTIL690,,,50 ft,YES,YES,"37.52649533, -122.32680786",Suburban,UTIL,UTIL690,Low
Car Hit Pole reported in Industrial,INCIDENT,Car Hit Pole,Vehicle collision with utility pole,37.52255998,-122.33162843,89,UTIL691,,,50 ft,YES,YES,"37.52255998, -122.33162843",Industrial,UTIL,UTIL691,Medium
Equipment Failure reported in Seaside,INCIDENT,Equipment Failure,Component failure at distribution station,37.52605091,-122.33439493,167,UTIL692,,,50 ft,YES,YES,"37.52605091, -122.33439493",Seaside,UTIL,UTIL692,Medium
Low Wire reported in Central,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.52943691,-122.33967843,50,UTIL693,,,50 ft,YES,YES,"37.52943691, -122.33967843",Central,UTIL,UTIL693,Critical
Tree Encroachment reported in Rural,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.5238025,-122.32641721,33,UTIL694,,,50 ft,YES,YES,"37.5238025, -122.32641721",Rural,UTIL,UTIL694,High
Meter Inspection reported in Rural,INCIDENT,Meter Inspection,Routine inspection of residential meters,37.53750599,-122.33321011,51,UTIL695,,,50 ft,YES,YES,"37.53750599, -122.33321011",Rural,UTIL,UTIL695,Critical
Car Hit Pole reported in Central,INCIDENT,Car Hit Pole,Vehicle collision with utility pole,37.53269342,-122.32004071,178,UTIL696,,,50 ft,YES,YES,"37.53269342, -122.32004071",Central,UTIL,UTIL696,Critical
Switch Malfunction reported in Seaside,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.53702034,-122.33076548,133,UTIL697,,,50 ft,YES,YES,"37.53702034, -122.33076548",Seaside,UTIL,UTIL697,Medium
Equipment Failure reported in Downtown,INCIDENT,Equipment Failure,Component failure at distribution station,37.53630753,-122.33047306,132,UTIL698,,,50 ft,YES,YES,"37.53630753, -122.33047306",Downtown,UTIL,UTIL698,Low
Routine Inspection reported in Downtown,INCIDENT,Routine Inspection,Scheduled maintenance check,37.52937335,-122.32820139,178,UTIL699,,,50 ft,YES,YES,"37.52937335, -122.32820139",Downtown,UTIL,UTIL699,High
Breaker Operation reported in Central,INCIDENT,Breaker Operation,Unexpected breaker trip detected,37.52340199,-122.33230476,66,UTIL700,,,50 ft,YES,YES,"37.52340199, -122.33230476",Central,UTIL,UTIL700,Medium
Fuse Blown reported in Suburban,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.5301505,-122.3261044,19,UTIL701,,,50 ft,YES,YES,"37.5301505, -122.3261044",Suburban,UTIL,UTIL701,High
Transformer Explosion reported in Industrial,INCIDENT,Transformer Explosion,Transformer explosion with fire risk,37.53868705,-122.32649676,176,UTIL702,,,50 ft,YES,YES,"37.53868705, -122.32649676",Industrial,UTIL,UTIL702,Critical
Switch Malfunction reported in Uptown,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.53938,-122.3324109,143,UTIL703,,,50 ft,YES,YES,"37.53938, -122.3324109",Uptown,UTIL,UTIL703,Critical
Gas Leak reported in Industrial,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.52481102,-122.32665842,108,UTIL704,,,50 ft,YES,YES,"37.52481102, -122.32665842",Industrial,UTIL,UTIL704,Low
Low Wire reported in Suburban,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.53392867,-122.3211108,123,UTIL705,,,50 ft,YES,YES,"37.53392867, -122.3211108",Suburban,UTIL,UTIL705,Critical
Downed Power Line reported in Suburban,INCIDENT,Downed Power Line,Live wire reported on the ground,37.53924741,-122.32404337,92,UTIL706,,,50 ft,YES,YES,"37.53924741, -122.32404337",Suburban,UTIL,UTIL706,Medium
Switch Malfunction reported in Downtown,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.522768,-122.32489326,130,UTIL707,,,50 ft,YES,YES,"37.522768, -122.32489326",Downtown,UTIL,UTIL707,Low
Low Wire reported in Rural,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.53080273,-122.33354669,146,UTIL708,,,50 ft,YES,YES,"37.53080273, -122.33354669",Rural,UTIL,UTIL708,Low
Routine Inspection reported in Central,INCIDENT,Routine Inspection,Scheduled maintenance check,37.53833332,-122.3212861,32,UTIL709,,,50 ft,YES,YES,"37.53833332, -122.3212861",Central,UTIL,UTIL709,High
Breaker Operation reported in Seaside,INCIDENT,Breaker Operation,Unexpected breaker trip detected,37.53830382,-122.32378046,187,UTIL710,,,50 ft,YES,YES,"37.53830382, -122.32378046",Seaside,UTIL,UTIL710,Low
Switch Malfunction reported in Rural,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.5205865,-122.32812047,158,UTIL711,,,50 ft,YES,YES,"37.5205865, -122.32812047",Rural,UTIL,UTIL711,Low
Meter Inspection reported in Uptown,INCIDENT,Meter Inspection,Routine inspection of residential meters,37.53151171,-122.32384673,29,UTIL712,,,50 ft,YES,YES,"37.53151171, -122.32384673",Uptown,UTIL,UTIL712,Critical
Low Wire reported in Industrial,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.53516805,-122.3289371,18,UTIL713,,,50 ft,YES,YES,"37.53516805, -122.3289371",Industrial,UTIL,UTIL713,Medium
Equipment Failure reported in Uptown,INCIDENT,Equipment Failure,Component failure at distribution station,37.52659972,-122.33906247,95,UTIL714,,,50 ft,YES,YES,"37.52659972, -122.33906247",Uptown,UTIL,UTIL714,Low
Tree Encroachment reported in Seaside,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.53576464,-122.32413363,115,UTIL715,,,50 ft,YES,YES,"37.53576464, -122.32413363",Seaside,UTIL,UTIL715,High
Downed Power Line reported in Seaside,INCIDENT,Downed Power Line,Live wire reported on the ground,37.53489686,-122.32311413,82,UTIL716,,,50 ft,YES,YES,"37.53489686, -122.32311413",Seaside,UTIL,UTIL716,Critical
Fuse Blown reported in Downtown,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.52572666,-122.33676596,62,UTIL717,,,50 ft,YES,YES,"37.52572666, -122.33676596",Downtown,UTIL,UTIL717,Critical
Transformer Failure reported in Uptown,INCIDENT,Transformer Failure,Multiple customers without power,37.53260499,-122.32730533,81,UTIL718,,,50 ft,YES,YES,"37.53260499, -122.32730533",Uptown,UTIL,UTIL718,Low
Fuse Blown reported in Central,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.52319353,-122.3257199,58,UTIL719,,,50 ft,YES,YES,"37.52319353, -122.3257199",Central,UTIL,UTIL719,High
Transformer Explosion reported in Seaside,INCIDENT,Transformer Explosion,Transformer explosion with fire risk,37.53148204,-122.33393938,132,UTIL720,,,50 ft,YES,YES,"37.53148204, -122.33393938",Seaside,UTIL,UTIL720,Low
Breaker Operation reported in Downtown,INCIDENT,Breaker Operation,Unexpected breaker trip detected,37.5321726,-122.33393229,93,UTIL721,,,50 ft,YES,YES,"37.5321726, -122.33393229",Downtown,UTIL,UTIL721,Critical
Voltage Irregularity reported in Central,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.52148476,-122.32998767,69,UTIL722,,,50 ft,YES,YES,"37.52148476, -122.32998767",Central,UTIL,UTIL722,Low
Switch Malfunction reported in Suburban,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.53820177,-122.32740287,137,UTIL723,,,50 ft,YES,YES,"37.53820177, -122.32740287",Suburban,UTIL,UTIL723,Low
Gas Leak reported in Downtown,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.52555464,-122.33242085,199,UTIL724,,,50 ft,YES,YES,"37.52555464, -122.33242085",Downtown,UTIL,UTIL724,Critical
