GD Note,TYPE,TITLE,DESCRIPTION,LATITUDE,LONGITUDE,DELAY,EXTERNALID,UUID,Desired Altitude,Alert on Map Screen,AR Marker,Coordinates for maps,AREA,CODE,INCIDENT_ID,PRIORITY
Riot or Large Protest reported in Downtown,INCIDENT,10-33 - Riot or Large Protest,Reported riot or large protest at location. Additional details unknown.,37.53945319,-122.32183301,,,,50 ft,YES,YES,"37.53945319, -122.32183301",Downtown,10-33,INC434,Medium
Tornado Warning reported in Central,INCIDENT,10-39 - Tornado Warning,Reported tornado warning at location. Additional details unknown.,37.53754804,-122.3283386,,,,50 ft,YES,YES,"37.53754804, -122.3283386",Central,10-39,INC435,High
Suspicious Person reported in Suburban,INCIDENT,10-27 - Suspicious Person,Reported suspicious person at location. Additional details unknown.,37.52087764,-122.33924315,,,,50 ft,YES,YES,"37.52087764, -122.33924315",Suburban,10-27,INC436,High
Explosion Reported reported in Uptown,INCIDENT,10-06 - Explosion Reported,Reported explosion reported at location. Additional details unknown.,37.53597174,-122.32599648,,,,50 ft,YES,YES,"37.53597174, -122.32599648",Uptown,10-06,INC437,High
Explosion Reported reported in Seaside,INCIDENT,10-06 - Explosion Reported,Reported explosion reported at location. Additional details unknown.,37.52986088,-122.33088602,,,,50 ft,YES,YES,"37.52986088, -122.33088602",Seaside,10-06,INC438,Critical
Structure Fire reported in Central,INCIDENT,10-07 - Structure Fire,Reported structure fire at location. Additional details unknown.,37.53036833,-122.32966143,,,,50 ft,YES,YES,"37.53036833, -122.32966143",Central,10-07,INC439,High
Medical Emergency - Minor reported in Rural,INCIDENT,10-10 - Medical Emergency - Minor,Reported medical emergency - minor at location. Additional details unknown.,37.52408042,-122.32257917,,,,50 ft,YES,YES,"37.52408042, -122.32257917",Rural,10-10,INC440,Critical
Street Racing Incident reported in Rural,INCIDENT,10-17 - Street Racing Incident,Reported street racing incident at location. Additional details unknown.,37.52477388,-122.33688877,,,,50 ft,YES,YES,"37.52477388, -122.33688877",Rural,10-17,INC441,Medium
Hostage Situation reported in Downtown,INCIDENT,10-05 - Hostage Situation,Reported hostage situation at location. Additional details unknown.,37.53325548,-122.33443736,,,,50 ft,YES,YES,"37.53325548, -122.33443736",Downtown,10-05,INC442,Medium
Traffic Stop - High Risk reported in Seaside,INCIDENT,10-04 - Traffic Stop - High Risk,Reported traffic stop - high risk at location. Additional details unknown.,37.53735641,-122.33223535,,,,50 ft,YES,YES,"37.53735641, -122.33223535",Seaside,10-04,INC443,Low
Elevator Rescue Required reported in Downtown,INCIDENT,10-49 - Elevator Rescue Required,Reported elevator rescue required at location. Additional details unknown.,37.53467796,-122.32266056,,,,50 ft,YES,YES,"37.53467796, -122.32266056",Downtown,10-49,INC444,Medium
Mudslide Reported reported in Uptown,INCIDENT,10-38 - Mudslide Reported,Reported mudslide reported at location. Additional details unknown.,37.5274816,-122.33364,,,,50 ft,YES,YES,"37.5274816, -122.33364",Uptown,10-38,INC445,Low
Earthquake Damage reported in Downtown,INCIDENT,10-45 - Earthquake Damage,Reported earthquake damage at location. Additional details unknown.,37.53417579,-122.33649164,,,,50 ft,YES,YES,"37.53417579, -122.33649164",Downtown,10-45,INC446,Low
Attempted Suicide reported in Downtown,INCIDENT,10-31 - Attempted Suicide,Reported attempted suicide at location. Additional details unknown.,37.53195005,-122.33974154,,,,50 ft,YES,YES,"37.53195005, -122.33974154",Downtown,10-31,INC447,Medium
Drug Activity Reported reported in Rural,INCIDENT,10-11 - Drug Activity Reported,Reported drug activity reported at location. Additional details unknown.,37.53971679,-122.33017299,,,,50 ft,YES,YES,"37.53971679, -122.33017299",Rural,10-11,INC448,High
Domestic Dispute reported in Industrial,INCIDENT,10-19 - Domestic Dispute,Reported domestic dispute at location. Additional details unknown.,37.53704697,-122.32413663,,,,50 ft,YES,YES,"37.53704697, -122.32413663",Industrial,10-19,INC449,Medium
Severe Weather Alert reported in Suburban,INCIDENT,10-43 - Severe Weather Alert,Reported severe weather alert at location. Additional details unknown.,37.52583164,-122.32079147,,,,50 ft,YES,YES,"37.52583164, -122.32079147",Suburban,10-43,INC450,High
Trespassing Reported reported in Industrial,INCIDENT,10-16 - Trespassing Reported,Reported trespassing reported at location. Additional details unknown.,37.53241183,-122.3291662,,,,50 ft,YES,YES,"37.53241183, -122.3291662",Industrial,10-16,INC451,Medium
Attempted Kidnapping reported in Downtown,INCIDENT,10-15 - Attempted Kidnapping,Reported attempted kidnapping at location. Additional details unknown.,37.52597738,-122.32094375,,,,50 ft,YES,YES,"37.52597738, -122.32094375",Downtown,10-15,INC452,High
Radiation Alert reported in Downtown,INCIDENT,10-36 - Radiation Alert,Reported radiation alert at location. Additional details unknown.,37.53974886,-122.3287127,,,,50 ft,YES,YES,"37.53974886, -122.3287127",Downtown,10-36,INC453,Critical
Landslide Reported reported in Downtown,INCIDENT,10-42 - Landslide Reported,Reported landslide reported at location. Additional details unknown.,37.52515053,-122.32133095,,,,50 ft,YES,YES,"37.52515053, -122.32133095",Downtown,10-42,INC454,Low
Noise Complaint reported in Rural,INCIDENT,10-28 - Noise Complaint,Reported noise complaint at location. Additional details unknown.,37.52663508,-122.33918228,,,,50 ft,YES,YES,"37.52663508, -122.33918228",Rural,10-28,INC455,Critical
Vehicle Breakdown reported in Uptown,INCIDENT,10-50 - Vehicle Breakdown,Reported vehicle breakdown at location. Additional details unknown.,37.52089526,-122.33488577,,,,50 ft,YES,YES,"37.52089526, -122.33488577",Uptown,10-50,INC456,Critical
Animal Attack reported in Suburban,INCIDENT,10-20 - Animal Attack,Reported animal attack at location. Additional details unknown.,37.53501336,-122.3244793,,,,50 ft,YES,YES,"37.53501336, -122.3244793",Suburban,10-20,INC457,Medium
Street Racing Incident reported in Seaside,INCIDENT,10-17 - Street Racing Incident,Reported street racing incident at location. Additional details unknown.,37.52514642,-122.33921185,,,,50 ft,YES,YES,"37.52514642, -122.33921185",Seaside,10-17,INC458,Medium
Public Disturbance reported in Downtown,INCIDENT,10-18 - Public Disturbance,Reported public disturbance at location. Additional details unknown.,37.53817171,-122.32820009,,,,50 ft,YES,YES,"37.53817171, -122.32820009",Downtown,10-18,INC459,Medium
Chemical Spill reported in Downtown,INCIDENT,10-35 - Chemical Spill,Reported chemical spill at location. Additional details unknown.,37.52208304,-122.33718979,,,,50 ft,YES,YES,"37.52208304, -122.33718979",Downtown,10-35,INC460,Medium
Traffic Stop - High Risk reported in Rural,INCIDENT,10-04 - Traffic Stop - High Risk,Reported traffic stop - high risk at location. Additional details unknown.,37.52593486,-122.33861719,,,,50 ft,YES,YES,"37.52593486, -122.33861719",Rural,10-04,INC461,Critical
Underage Drinking reported in Industrial,INCIDENT,10-29 - Underage Drinking,Reported underage drinking at location. Additional details unknown.,37.53444779,-122.32619208,,,,50 ft,YES,YES,"37.53444779, -122.32619208",Industrial,10-29,INC462,Medium
Vehicle Pursuit reported in Rural,INCIDENT,10-22 - Vehicle Pursuit,Reported vehicle pursuit at location. Additional details unknown.,37.53043286,-122.3267189,,,,50 ft,YES,YES,"37.53043286, -122.3267189",Rural,10-22,INC463,Low
Request for Backup reported in Downtown,INCIDENT,10-01 - Request for Backup,Reported request for backup at location. Additional details unknown.,37.53905867,-122.32284561,,,,50 ft,YES,YES,"37.53905867, -122.32284561",Downtown,10-01,INC464,Low
Traffic Stop - High Risk reported in Industrial,INCIDENT,10-04 - Traffic Stop - High Risk,Reported traffic stop - high risk at location. Additional details unknown.,37.52879852,-122.33127123,,,,50 ft,YES,YES,"37.52879852, -122.33127123",Industrial,10-04,INC465,Critical
Suspicious Package reported in Seaside,INCIDENT,10-12 - Suspicious Package,Reported suspicious package at location. Additional details unknown.,37.52923355,-122.32793264,,,,50 ft,YES,YES,"37.52923355, -122.32793264",Seaside,10-12,INC466,Medium
Public Disturbance reported in Rural,INCIDENT,10-18 - Public Disturbance,Reported public disturbance at location. Additional details unknown.,37.52082306,-122.32552335,,,,50 ft,YES,YES,"37.52082306, -122.32552335",Rural,10-18,INC467,Critical
Wildfire Spotted reported in Uptown,INCIDENT,10-46 - Wildfire Spotted,Reported wildfire spotted at location. Additional details unknown.,37.53149614,-122.32841541,,,,50 ft,YES,YES,"37.53149614, -122.32841541",Uptown,10-46,INC468,Medium
Road Hazard reported in Suburban,INCIDENT,10-21 - Road Hazard,Reported road hazard at location. Additional details unknown.,37.52597922,-122.32396366,,,,50 ft,YES,YES,"37.52597922, -122.32396366",Suburban,10-21,INC469,Critical
Boating Accident reported in Rural,INCIDENT,10-34 - Boating Accident,Reported boating accident at location. Additional details unknown.,37.53477178,-122.32240122,,,,50 ft,YES,YES,"37.53477178, -122.32240122",Rural,10-34,INC470,Medium
Elevator Rescue Required reported in Suburban,INCIDENT,10-49 - Elevator Rescue Required,Reported elevator rescue required at location. Additional details unknown.,37.52467905,-122.33824272,,,,50 ft,YES,YES,"37.52467905, -122.33824272",Suburban,10-49,INC471,Low
Wildfire Spotted reported in Rural,INCIDENT,10-46 - Wildfire Spotted,Reported wildfire spotted at location. Additional details unknown.,37.52824188,-122.33871904,,,,50 ft,YES,YES,"37.52824188, -122.33871904",Rural,10-46,INC472,Low
Structure Fire reported in Central,INCIDENT,10-07 - Structure Fire,Reported structure fire at location. Additional details unknown.,37.52189596,-122.33201926,,,,50 ft,YES,YES,"37.52189596, -122.33201926",Central,10-07,INC473,Critical
Unattended Luggage reported in Central,INCIDENT,10-26 - Unattended Luggage,Reported unattended luggage at location. Additional details unknown.,37.5389589,-122.3357612,,,,50 ft,YES,YES,"37.5389589, -122.3357612",Central,10-26,INC474,Low
Explosion Reported reported in Central,INCIDENT,10-06 - Explosion Reported,Reported explosion reported at location. Additional details unknown.,37.52723662,-122.32681884,,,,50 ft,YES,YES,"37.52723662, -122.32681884",Central,10-06,INC475,Medium
Public Disturbance reported in Suburban,INCIDENT,10-18 - Public Disturbance,Reported public disturbance at location. Additional details unknown.,37.52860231,-122.32518143,,,,50 ft,YES,YES,"37.52860231, -122.32518143",Suburban,10-18,INC476,Medium
Flooding Reported reported in Uptown,INCIDENT,10-40 - Flooding Reported,Reported flooding reported at location. Additional details unknown.,37.52958758,-122.3212015,,,,50 ft,YES,YES,"37.52958758, -122.3212015",Uptown,10-40,INC477,Critical
Chemical Spill reported in Industrial,INCIDENT,10-35 - Chemical Spill,Reported chemical spill at location. Additional details unknown.,37.53295913,-122.33858835,,,,50 ft,YES,YES,"37.53295913, -122.33858835",Industrial,10-35,INC478,Medium
Earthquake Damage reported in Rural,INCIDENT,10-45 - Earthquake Damage,Reported earthquake damage at location. Additional details unknown.,37.53828645,-122.33912914,,,,50 ft,YES,YES,"37.53828645, -122.33912914",Rural,10-45,INC479,Medium
Street Racing Incident reported in Uptown,INCIDENT,10-17 - Street Racing Incident,Reported street racing incident at location. Additional details unknown.,37.52800722,-122.33175587,,,,50 ft,YES,YES,"37.52800722, -122.33175587",Uptown,10-17,INC480,Low
Hostage Situation reported in Uptown,INCIDENT,10-05 - Hostage Situation,Reported hostage situation at location. Additional details unknown.,37.52437128,-122.32182324,,,,50 ft,YES,YES,"37.52437128, -122.32182324",Uptown,10-05,INC481,Medium
Wildfire Spotted reported in Downtown,INCIDENT,10-46 - Wildfire Spotted,Reported wildfire spotted at location. Additional details unknown.,37.52484071,-122.33042312,,,,50 ft,YES,YES,"37.52484071, -122.33042312",Downtown,10-46,INC482,Medium
Vandalism in Progress reported in Seaside,INCIDENT,10-14 - Vandalism in Progress,Reported vandalism in progress at location. Additional details unknown.,37.53168999,-122.32080646,,,,50 ft,YES,YES,"37.53168999, -122.32080646",Seaside,10-14,INC483,Critical
Medical Emergency - Minor reported in Seaside,INCIDENT,10-10 - Medical Emergency - Minor,Reported medical emergency - minor at location. Additional details unknown.,37.53917648,-122.32120322,,,,50 ft,YES,YES,"37.53917648, -122.32120322",Seaside,10-10,INC484,High
Sinkhole Formation reported in Downtown,INCIDENT,10-44 - Sinkhole Formation,Reported sinkhole formation at location. Additional details unknown.,37.53422717,-122.32436912,,,,50 ft,YES,YES,"37.53422717, -122.32436912",Downtown,10-44,INC485,High
Cyber Crime reported in Industrial,INCIDENT,10-32 - Cyber Crime,Reported cyber crime at location. Additional details unknown.,37.53898668,-122.32847922,,,,50 ft,YES,YES,"37.53898668, -122.32847922",Industrial,10-32,INC486,Medium
Elevator Rescue Required reported in Rural,INCIDENT,10-49 - Elevator Rescue Required,Reported elevator rescue required at location. Additional details unknown.,37.52666105,-122.33392136,,,,50 ft,YES,YES,"37.52666105, -122.33392136",Rural,10-49,INC487,High
Vandalism in Progress reported in Downtown,INCIDENT,10-14 - Vandalism in Progress,Reported vandalism in progress at location. Additional details unknown.,37.52796929,-122.32586334,,,,50 ft,YES,YES,"37.52796929, -122.32586334",Downtown,10-14,INC488,Critical
Collapsed Building reported in Rural,INCIDENT,10-48 - Collapsed Building,Reported collapsed building at location. Additional details unknown.,37.52563944,-122.32047965,,,,50 ft,YES,YES,"37.52563944, -122.32047965",Rural,10-48,INC489,Critical
Medical Emergency - Critical reported in Uptown,INCIDENT,10-09 - Medical Emergency - Critical,Reported medical emergency - critical at location. Additional details unknown.,37.53853804,-122.33719916,,,,50 ft,YES,YES,"37.53853804, -122.33719916",Uptown,10-09,INC490,Medium
Boating Accident reported in Uptown,INCIDENT,10-34 - Boating Accident,Reported boating accident at location. Additional details unknown.,37.53960512,-122.32218053,,,,50 ft,YES,YES,"37.53960512, -122.32218053",Uptown,10-34,INC491,Low
Domestic Dispute reported in Uptown,INCIDENT,10-19 - Domestic Dispute,Reported domestic dispute at location. Additional details unknown.,37.53100669,-122.32672042,,,,50 ft,YES,YES,"37.53100669, -122.32672042",Uptown,10-19,INC492,Critical
Vandalism in Progress reported in Rural,INCIDENT,10-14 - Vandalism in Progress,Reported vandalism in progress at location. Additional details unknown.,37.53660633,-122.33114634,,,,50 ft,YES,YES,"37.53660633, -122.33114634",Rural,10-14,INC493,Critical
Unattended Luggage reported in Industrial,INCIDENT,10-26 - Unattended Luggage,Reported unattended luggage at location. Additional details unknown.,37.52292442,-122.32748807,,,,50 ft,YES,YES,"37.52292442, -122.32748807",Industrial,10-26,INC494,Low
Suspicious Person reported in Downtown,INCIDENT,10-27 - Suspicious Person,Reported suspicious person at location. Additional details unknown.,37.52296701,-122.33433306,,,,50 ft,YES,YES,"37.52296701, -122.33433306",Downtown,10-27,INC495,Low
Drug Activity Reported reported in Industrial,INCIDENT,10-11 - Drug Activity Reported,Reported drug activity reported at location. Additional details unknown.,37.52404967,-122.33180983,,,,50 ft,YES,YES,"37.52404967, -122.33180983",Industrial,10-11,INC496,Low
Medical Emergency - Critical reported in Downtown,INCIDENT,10-09 - Medical Emergency - Critical,Reported medical emergency - critical at location. Additional details unknown.,37.52786233,-122.33014355,,,,50 ft,YES,YES,"37.52786233, -122.33014355",Downtown,10-09,INC497,Medium
Hit-and-Run Accident reported in Rural,INCIDENT,10-23 - Hit-and-Run Accident,Reported hit-and-run accident at location. Additional details unknown.,37.52539209,-122.32473005,,,,50 ft,YES,YES,"37.52539209, -122.32473005",Rural,10-23,INC498,High
Vandalism in Progress reported in Uptown,INCIDENT,10-14 - Vandalism in Progress,Reported vandalism in progress at location. Additional details unknown.,37.52925115,-122.33440489,,,,50 ft,YES,YES,"37.52925115, -122.33440489",Uptown,10-14,INC499,Medium
Illegal Dumping reported in Rural,INCIDENT,10-24 - Illegal Dumping,Reported illegal dumping at location. Additional details unknown.,37.52598847,-122.33126305,,,,50 ft,YES,YES,"37.52598847, -122.33126305",Rural,10-24,INC500,Critical
Burglary in Progress reported in Downtown,INCIDENT,10-02 - Burglary in Progress,Reported burglary in progress at location. Additional details unknown.,37.53450604,-122.32360907,,,,50 ft,YES,YES,"37.53450604, -122.32360907",Downtown,10-02,INC501,Critical
Traffic Stop - High Risk reported in Downtown,INCIDENT,10-04 - Traffic Stop - High Risk,Reported traffic stop - high risk at location. Additional details unknown.,37.52540409,-122.33291236,,,,50 ft,YES,YES,"37.52540409, -122.33291236",Downtown,10-04,INC502,High
Trespassing Reported reported in Industrial,INCIDENT,10-16 - Trespassing Reported,Reported trespassing reported at location. Additional details unknown.,37.5272276,-122.33039702,,,,50 ft,YES,YES,"37.5272276, -122.33039702",Industrial,10-16,INC503,High
Armed Robbery reported in Industrial,INCIDENT,10-03 - Armed Robbery,Reported armed robbery at location. Additional details unknown.,37.52745075,-122.33307153,,,,50 ft,YES,YES,"37.52745075, -122.33307153",Industrial,10-03,INC504,Critical
Drowning Incident reported in Industrial,INCIDENT,10-47 - Drowning Incident,Reported drowning incident at location. Additional details unknown.,37.53363411,-122.3301052,,,,50 ft,YES,YES,"37.53363411, -122.3301052",Industrial,10-47,INC505,High
Unattended Luggage reported in Industrial,INCIDENT,10-26 - Unattended Luggage,Reported unattended luggage at location. Additional details unknown.,37.53886582,-122.33036536,,,,50 ft,YES,YES,"37.53886582, -122.33036536",Industrial,10-26,INC506,Medium
Vehicle Pursuit reported in Rural,INCIDENT,10-22 - Vehicle Pursuit,Reported vehicle pursuit at location. Additional details unknown.,37.52642509,-122.33136274,,,,50 ft,YES,YES,"37.52642509, -122.33136274",Rural,10-22,INC507,Low
Attempted Kidnapping reported in Rural,INCIDENT,10-15 - Attempted Kidnapping,Reported attempted kidnapping at location. Additional details unknown.,37.52765396,-122.33026796,,,,50 ft,YES,YES,"37.52765396, -122.33026796",Rural,10-15,INC508,High
Underage Drinking reported in Seaside,INCIDENT,10-29 - Underage Drinking,Reported underage drinking at location. Additional details unknown.,37.53146949,-122.32839231,,,,50 ft,YES,YES,"37.53146949, -122.32839231",Seaside,10-29,INC509,Low
Cyber Crime reported in Industrial,INCIDENT,10-32 - Cyber Crime,Reported cyber crime at location. Additional details unknown.,37.52602488,-122.33891915,,,,50 ft,YES,YES,"37.52602488, -122.33891915",Industrial,10-32,INC510,Critical
Explosion Reported reported in Industrial,INCIDENT,10-06 - Explosion Reported,Reported explosion reported at location. Additional details unknown.,37.53998719,-122.33761654,,,,50 ft,YES,YES,"37.53998719, -122.33761654",Industrial,10-06,INC511,Medium
Landslide Reported reported in Downtown,INCIDENT,10-42 - Landslide Reported,Reported landslide reported at location. Additional details unknown.,37.53500223,-122.33676628,,,,50 ft,YES,YES,"37.53500223, -122.33676628",Downtown,10-42,INC512,High
Drug Activity Reported reported in Downtown,INCIDENT,10-11 - Drug Activity Reported,Reported drug activity reported at location. Additional details unknown.,37.52670872,-122.33154838,,,,50 ft,YES,YES,"37.52670872, -122.33154838",Downtown,10-11,INC513,Low
Medical Emergency - Minor reported in Central,INCIDENT,10-10 - Medical Emergency - Minor,Reported medical emergency - minor at location. Additional details unknown.,37.53770777,-122.33029802,,,,50 ft,YES,YES,"37.53770777, -122.33029802",Central,10-10,INC514,Medium
Drug Activity Reported reported in Central,INCIDENT,10-11 - Drug Activity Reported,Reported drug activity reported at location. Additional details unknown.,37.52712029,-122.32247878,,,,50 ft,YES,YES,"37.52712029, -122.32247878",Central,10-11,INC515,Low
Vehicle Pursuit reported in Uptown,INCIDENT,10-22 - Vehicle Pursuit,Reported vehicle pursuit at location. Additional details unknown.,37.53585256,-122.32654132,,,,50 ft,YES,YES,"37.53585256, -122.32654132",Uptown,10-22,INC516,Low
Landslide Reported reported in Industrial,INCIDENT,10-42 - Landslide Reported,Reported landslide reported at location. Additional details unknown.,37.53198311,-122.32390507,,,,50 ft,YES,YES,"37.53198311, -122.32390507",Industrial,10-42,INC517,High
Hit-and-Run Accident reported in Rural,INCIDENT,10-23 - Hit-and-Run Accident,Reported hit-and-run accident at location. Additional details unknown.,37.53356208,-122.33127619,,,,50 ft,YES,YES,"37.53356208, -122.33127619",Rural,10-23,INC518,Low
